RowId,SchoolYear,OrganizationLevelId,OrganizationLevel,OrganizationId,OrganizationName,County,ESDOrganizationId,ESDName,LEAOrganizationId,LEACode,LEAName,SchoolOrganizationId,SchoolCode,SchoolName,TeacherTotal,StudentTotal,StudentToTeacherRatio,IsEEValidated,DataAsOf
1,2017-18,1,State,103300,Washington State,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65241,1130714,17.3,1,1/10/25
2,2017-18,2,ESD,100004,Capital Region ESD 113,Multiple,100004,Capital Region ESD 113,NULL,NULL,NULL,NULL,NULL,NULL,4458,75778,17,1,1/10/25
3,2017-18,2,ESD,100001,Educational Service District 101,Multiple,100001,Educational Service District 101,NULL,NULL,NULL,NULL,NULL,NULL,5939,94473,15.9,1,1/10/25
4,2017-18,2,ESD,100002,Educational Service District 105,Multiple,100002,Educational Service District 105,NULL,NULL,NULL,NULL,NULL,NULL,3767,66590,17.7,1,1/10/25
5,2017-18,2,ESD,100003,Educational Service District 112,Multiple,100003,Educational Service District 112,NULL,NULL,NULL,NULL,NULL,NULL,6205,103576,16.7,1,1/10/25
6,2017-18,2,ESD,100007,Educational Service District 123,Multiple,100007,Educational Service District 123,NULL,NULL,NULL,NULL,NULL,NULL,4387,76854,17.5,1,1/10/25
7,2017-18,2,ESD,100008,North Central Educational Service District 171,Multiple,100008,North Central Educational Service District 171,NULL,NULL,NULL,NULL,NULL,NULL,2807,48813,17.4,1,1/10/25
8,2017-18,2,ESD,100009,Northwest Educational Service District 189,Multiple,100009,Northwest Educational Service District 189,NULL,NULL,NULL,NULL,NULL,NULL,9822,170726,17.4,1,1/10/25
9,2017-18,2,ESD,100005,Olympic Educational Service District 114,Multiple,100005,Olympic Educational Service District 114,NULL,NULL,NULL,NULL,NULL,NULL,2997,48014,16,1,1/10/25
10,2017-18,2,ESD,100006,Puget Sound Educational Service District 121,Multiple,100006,Puget Sound Educational Service District 121,NULL,NULL,NULL,NULL,NULL,NULL,24873,440638,17.7,1,1/10/25
11,2017-18,2,ESD,105886,Spokane Public Schools Charter Authorizer,Multiple,105886,Spokane Public Schools Charter Authorizer,NULL,NULL,NULL,NULL,NULL,NULL,29,396,13.7,1,1/10/25
12,2017-18,2,ESD,105798,Washington State Charter School Commission,Multiple,105798,Washington State Charter School Commission,NULL,NULL,NULL,NULL,NULL,NULL,160,2110,13.2,1,1/10/25
13,2017-18,3,LEA,100010,Aberdeen School District,Grays Harbor,100004,Capital Region ESD 113,100010,14005,Aberdeen School District,NULL,NULL,NULL,211,3588,17,1,1/10/25
